,date,hospitalized,,
619,9/20/21,798,,
620,9/21/21,786,,
621,9/22/21,776,,
622,9/23/21,766,,
623,9/24/21,760,,
624,9/25/21,752,,
625,9/26/21,745,,
626,9/27/21,732,,
627,9/28/21,723,,
628,9/29/21,712,,
629,9/30/21,709,,
630,10/1/21,703,,
631,10/2/21,699,,
632,10/3/21,693,,
633,10/4/21,689,,
634,10/5/21,690,,
635,10/6/21,682,,
636,10/7/21,669,,
637,10/8/21,658,,
638,10/9/21,648,,
639,10/10/21,633,,
640,10/11/21,626,,
641,10/12/21,610,,
642,10/13/21,609,,
643,10/14/21,609,,
644,10/15/21,602,,
645,10/16/21,596,,
646,10/17/21,591,,
647,10/18/21,584,,
648,10/19/21,580,,
649,10/20/21,568,,
650,10/21/21,557,,
651,10/22/21,550,,
652,10/23/21,548,,
653,10/24/21,539,,
654,10/25/21,532,,
655,10/26/21,526,,
656,10/27/21,523,,
657,10/28/21,527,,
658,10/29/21,531,,
659,10/30/21,535,,
660,10/31/21,543,,
661,11/1/21,546,,
662,11/2/21,550,,
663,11/3/21,553,,
664,11/4/21,550,,
665,11/5/21,558,,
666,11/6/21,563,,
667,11/7/21,567,,
668,11/8/21,570,,
669,11/9/21,577,,
670,11/10/21,585,,
671,11/11/21,600,,
672,11/12/21,612,,
673,11/13/21,618,,
674,11/14/21,628,,
675,11/15/21,641,,
676,11/16/21,653,,
677,11/17/21,666,,
678,11/18/21,678,,
679,11/19/21,690,,
680,11/20/21,706,,
681,11/21/21,728,,
682,11/22/21,753,,
683,11/23/21,770,,
684,11/24/21,789,,
685,11/25/21,804,,
686,11/26/21,825,,
687,11/27/21,848,,
688,11/28/21,865,,
689,11/29/21,884,,
690,11/30/21,907,,
691,12/1/21,935,,
692,12/2/21,963,,
693,12/3/21,984,,
694,12/4/21,1011,,
695,12/5/21,1041,,
696,12/6/21,1069,,
697,12/7/21,1103,,
698,12/8/21,1132,,
699,12/9/21,1166,,
700,12/10/21,1203,,
701,12/11/21,1239,,
702,12/12/21,1279,,
703,12/13/21,1313,,
704,12/14/21,1342,,
705,12/15/21,1376,,
706,12/16/21,1408,,
707,12/17/21,1449,,
708,12/18/21,1484,,
709,12/19/21,1524,,
710,12/20/21,1573,,
711,12/21/21,1634,,
712,12/22/21,1701,,
713,12/23/21,1775,,
714,12/24/21,1839,,
715,12/25/21,1915,,
716,12/26/21,1999,,
717,12/27/21,2106,,
718,12/28/21,2224,,
719,12/29/21,2354,,
720,12/30/21,2500,,
721,12/31/21,2645,,
722,1/1/22,2796,,
723,1/2/22,2940,,
724,1/3/22,3070,,
725,1/4/22,3194,,
726,1/5/22,3305,,
727,1/6/22,3398,,
728,1/7/22,3491,,
729,1/8/22,3580,,
730,1/9/22,3630,,
731,1/10/22,3675,,
732,1/11/22,3702,,
733,1/12/22,3724,,
734,1/13/22,3728,,
735,1/14/22,3707,,
736,1/15/22,3648,,
737,1/16/22,3614,,
738,1/17/22,3553,,
739,1/18/22,3479,,
740,1/19/22,3370,,
741,1/20/22,3261,,
742,1/21/22,3157,,
743,1/22/22,3058,,
744,1/23/22,2937,,
745,1/24/22,2810,,
746,1/25/22,2686,,
747,1/26/22,2573,,
748,1/27/22,2450,,
749,1/28/22,2324,,
750,1/29/22,2196,,
751,1/30/22,2080,,
752,1/31/22,1981,,
753,2/1/22,1884,,
754,2/2/22,1776,,
755,2/3/22,1684,,
756,2/4/22,1591,,
757,2/5/22,1509,,
758,2/6/22,1434,,
759,2/7/22,1349,,
760,2/8/22,1269,,
761,2/9/22,1196,,
762,2/10/22,1141,,
763,2/11/22,1081,,
764,2/12/22,1030,,
765,2/13/22,975,,
766,2/14/22,929,,
767,2/15/22,876,,
768,2/16/22,832,,
769,2/17/22,787,,
770,2/18/22,757,,
771,2/19/22,717,,
772,2/20/22,680,,
773,2/21/22,649,,
774,2/22/22,626,,
775,2/23/22,602,,
776,2/24/22,578,,
777,2/25/22,552,,
778,2/26/22,533,,
779,2/27/22,514,,
780,2/28/22,492,,
781,3/1/22,474,,
782,3/2/22,449,,
783,3/3/22,424,,
784,3/4/22,400,,
785,3/5/22,383,,
786,3/6/22,367,,
787,3/7/22,358,,
788,3/8/22,343,,
789,3/9/22,339,,
790,3/10/22,337,,
791,3/11/22,338,,
792,3/12/22,338,,
793,3/13/22,335,,
794,3/14/22,327,,
795,3/15/22,326,,
796,3/16/22,317,,
797,3/17/22,309,,
798,3/18/22,300,,
799,3/19/22,289,,
800,3/20/22,284,,
801,3/21/22,283,,
802,3/22/22,273,,
803,3/23/22,267,,
804,3/24/22,264,,
805,3/25/22,259,,
806,3/26/22,258,,
807,3/27/22,254,,
808,3/28/22,249,,
809,3/29/22,249,,
810,3/30/22,250,,
811,3/31/22,250,,
812,4/1/22,252,,
813,4/2/22,244,,
814,4/3/22,240,,
815,4/4/22,239,,
816,4/5/22,240,,
817,4/6/22,244,,
818,4/7/22,246,,
