,PY,ToIHT
666,2185.0,48.0
667,2129.0,52.0
668,2093.0,37.0
669,2121.0,46.0
670,2022.0,45.0
671,1922.0,46.0
672,1.0,0.0
673,0.0,0.0
674,1.0,0.0
675,1.0,0.0
676,2.0,0.0
677,4.0,1.0
678,5.0,0.0
679,3.0,1.0
680,10.0,0.0
681,8.0,0.0
682,9.0,1.0
683,8.0,0.0
684,17.0,0.0
685,24.0,2.0
686,36.0,3.0
687,42.0,1.0
688,76.0,1.0
689,108.0,0.0
690,118.0,3.0
691,161.0,11.0
692,194.0,11.0
693,288.0,8.0
694,385.0,9.0
695,531.0,10.0
696,760.0,14.0
697,1047.0,29.0
698,1410.0,41.0
699,1728.0,44.0
700,2108.0,53.0
701,2543.0,58.0
702,3099.0,77.0
703,3785.0,93.0
704,4367.0,77.0
705,4586.0,77.0
706,4732.0,108.0
707,4996.0,114.0
708,5504.0,127.0
709,6141.0,122.0
710,6811.0,145.0
711,7518.0,185.0
712,8212.0,192.0
713,8849.0,187.0
714,9410.0,193.0
715,10690.0,209.0
716,11416.0,232.0
717,11606.0,258.0
718,11428.0,213.0
719,11135.0,221.0
720,10652.0,228.0
721,10153.0,211.0
722,9793.0,197.0
723,9761.0,231.0
724,9753.0,233.0
725,9558.0,192.0
726,9141.0,202.0
727,8812.0,203.0
728,8524.0,213.0
729,8433.0,215.0
730,8478.0,204.0
731,8564.0,169.0
732,8544.0,163.0
733,8517.0,195.0
734,8047.0,192.0
735,7626.0,201.0
736,7540.0,195.0
737,7659.0,180.0
738,7813.0,166.0
739,7774.0,192.0
740,7517.0,159.0
741,7206.0,147.0
742,6942.0,170.0
743,6730.0,148.0
744,6679.0,141.0
745,6538.0,135.0
746,6479.0,142.0
747,6319.0,154.0
748,6070.0,133.0
749,5791.0,145.0
750,5695.0,117.0
751,5626.0,138.0
752,5511.0,136.0
753,5482.0,119.0
754,5411.0,109.0
755,5232.0,118.0
756,5075.0,124.0
757,4943.0,98.0
758,4919.0,127.0
759,4711.0,118.0
760,4733.0,116.0
761,4654.0,116.0
762,4421.0,107.0
763,4262.0,122.0
764,4231.0,103.0
765,4122.0,91.0
766,4054.0,85.0
767,4095.0,83.0
768,3887.0,97.0
769,3778.0,75.0
770,3590.0,83.0
771,3496.0,81.0
772,3470.0,78.0
773,3338.0,70.0
774,3357.0,78.0
775,3218.0,69.0
776,3155.0,73.0
777,3004.0,67.0
778,2940.0,71.0
779,2877.0,77.0
780,2889.0,69.0
781,2870.0,59.0
782,2753.0,67.0
783,2620.0,54.0
784,0.0,0.0
785,0.0,0.0
786,0.0,0.0
787,1.0,0.0
788,1.0,0.0
789,4.0,0.0
790,6.0,0.0
791,5.0,0.0
792,6.0,0.0
793,6.0,0.0
794,12.0,0.0
795,16.0,0.0
796,16.0,0.0
797,11.0,3.0
798,19.0,0.0
799,27.0,1.0
800,40.0,0.0
801,51.0,2.0
802,76.0,3.0
803,105.0,4.0
804,148.0,1.0
805,198.0,3.0
806,266.0,9.0
807,390.0,8.0
808,568.0,17.0
809,764.0,18.0
810,1067.0,39.0
811,1256.0,29.0
812,1492.0,40.0
813,1868.0,54.0
814,2349.0,53.0
815,2906.0,75.0
816,3334.0,68.0
817,3581.0,77.0
818,3696.0,87.0
819,3945.0,95.0
820,4351.0,118.0
821,4782.0,117.0
822,5475.0,129.0
823,6077.0,139.0
824,6692.0,166.0
825,7143.0,165.0
826,7777.0,165.0
827,8620.0,190.0
828,9178.0,204.0
829,9374.0,168.0
830,9463.0,190.0
831,9143.0,201.0
832,8926.0,202.0
833,8609.0,183.0
834,8618.0,215.0
835,8615.0,191.0
836,8754.0,194.0
837,8608.0,183.0
838,8278.0,172.0
839,8007.0,181.0
840,7847.0,182.0
841,7783.0,159.0
842,7699.0,157.0
843,7756.0,192.0
844,7867.0,168.0
845,7988.0,151.0
