,date,hospitalized,SMA7,SMA_ratio7,SMA8,SMA_ratio8,SMA9,SMA_ratio9,SMA10,SMA_ratio10,SMA11,SMA_ratio11,SMA12,SMA_ratio12,SMA13,SMA_ratio13,SMA14,SMA_ratio14,SMA15,SMA_ratio15,SMA16,SMA_ratio16,SMA17,SMA_ratio17,SMA18,SMA_ratio18,SMA19,SMA_ratio19
41,2020-07-24,54.0,386.0,0.4810182619274194,439.0,0.5470648108449148,491.0,0.6118651984620801,541.0,0.6741732634785852,593.0,0.7389736510957505,645.0,0.8037740387129159,696.0,0.867328265029751,748.0,0.9321286526469164,799.0,0.9956828789637515,850.0,1.0592371052805867,902.0,1.1240374928977521,954.0,1.1888378805149173,1005.0,1.2523921068317525
42,2020-07-25,57.0,391.0,0.5057226795605471,443.0,0.572979915716937,496.0,0.6415305602609498,548.0,0.7087877964173397,598.0,0.7734582157984837,650.0,0.8407154519548736,702.0,0.9079726881112635,753.0,0.9739365158800306,805.0,1.0411937520364205,856.0,1.1071575798051874,907.0,1.1731214075739544,959.0,1.2403786437303443,1011.0,1.3076358798867342
43,2020-07-26,55.0,391.0,0.494685101632839,446.0,0.564269962476333,498.0,0.6300592854556364,551.0,0.6971137877230033,603.0,0.7629031107023067,653.0,0.826162075105483,705.0,0.8919513980847864,757.0,0.9577407210640898,808.0,1.0222648647553296,860.0,1.088054187734633,911.0,1.152578331425873,962.0,1.217102475117113,1014.0,1.2828917980964163
44,2020-07-27,54.0,389.0,0.5044485849219836,445.0,0.5770684326228347,500.0,0.6483914973290278,552.0,0.7158242130512467,605.0,0.7845537117681236,657.0,0.8519864274903425,707.0,0.9168255772232452,759.0,0.9842582929454642,811.0,1.051691008667683,862.0,1.117826941395244,914.0,1.1852596571174627,965.0,1.2513955898450235,1016.0,1.3175315225725843
45,2020-07-28,52.0,385.0,0.4623264471816258,441.0,0.5295739304080441,497.0,0.5968214136344624,552.0,0.6628680489461233,604.0,0.7253121405135117,657.0,0.7889570799956576,709.0,0.851401171563046,759.0,0.9114435673009195,811.0,0.9738876588683079,863.0,1.0363317504356964,914.0,1.0975749940883273,966.0,1.1600190856557155,1017.0,1.2212623293083467
46,2020-07-29,54.0,382.0,0.4709063187622365,439.0,0.5411724448602666,495.0,0.6102058319039452,551.0,0.6792392189476238,606.0,0.7470398669369511,658.0,0.8111422977632241,711.0,0.8764774676438486,763.0,0.9405798984701216,813.0,1.0022168511876919,865.0,1.0663192820139649,917.0,1.1304217128402378,968.0,1.1932914046121594,1020.0,1.2573938354384326
47,2020-07-30,54.0,380.0,0.498084859451302,436.0,0.5714868387388623,493.0,0.6461995676565576,549.0,0.7196015469441178,605.0,0.7930035262316781,660.0,0.8650947558891035,712.0,0.9332537366561238,765.0,1.002723467053279,817.0,1.0708824478202992,867.0,1.1364199293270496,919.0,1.2045789100940698,971.0,1.27273789086109,1022.0,1.3395861219979754
48,2020-07-31,56.0,382.0,0.5103948964703573,436.0,0.5825449603693083,492.0,0.6573672488571094,549.0,0.7335256496393354,605.0,0.8083479381271365,661.0,0.8831702266149376,716.0,0.9566564028083137,768.0,1.0261342421184145,821.0,1.0969481937229406,873.0,1.1664260330330416,923.0,1.2332316477542926,975.0,1.3027094870643936,1027.0,1.3721873263744946
49,2020-08-01,56.0,381.0,0.49049877963449645,438.0,0.5638804868239092,492.0,0.6333999988980898,548.0,0.7054943077157586,605.0,0.7788760149051714,661.0,0.8509703237228403,717.0,0.9230646325405091,772.0,0.9938715429864338,824.0,1.0608162583171261,877.0,1.1290483720195625,929.0,1.1959930873502551,979.0,1.2603630059374593,1031.0,1.3273077212681517
50,2020-08-02,56.0,382.0,0.492424646425268,437.0,0.5633234829524663,494.0,0.6368004589897445,548.0,0.7064102257619028,604.0,0.7785981320441411,661.0,0.8520751080814193,717.0,0.9242630143636575,773.0,0.9964509206458958,828.0,1.067349757173094,880.0,1.1343813844351724,933.0,1.2027020814522908,985.0,1.2697337087143692,1035.0,1.3341871964663676
