,date,hospitalized,SMA7,SMA_ratio7,SMA8,SMA_ratio8,SMA9,SMA_ratio9,SMA10,SMA_ratio10,SMA11,SMA_ratio11,SMA12,SMA_ratio12,SMA13,SMA_ratio13,SMA14,SMA_ratio14
503,2021-10-29,120.0,850.0,0.684931506849315,972.0,0.7832393231265109,1098.0,0.8847703464947623,1230.0,0.9911361804995971,1365.0,1.0999194198227236,1501.0,1.209508460918614,1633.0,1.3158742949234488,1766.0,1.4230459307010475
504,2021-10-30,125.0,853.0,0.6929325751421609,975.0,0.7920389926888708,1097.0,0.8911454102355808,1223.0,0.9935012185215272,1355.0,1.1007311129163282,1490.0,1.2103980503655565,1626.0,1.3208773354995937,1758.0,1.4281072298943949
505,2021-10-31,128.0,860.0,0.6896551724137931,981.0,0.7866880513231757,1103.0,0.884522854851644,1225.0,0.9823576583801122,1351.0,1.083400160384924,1483.0,1.1892542101042503,1618.0,1.297514033680834,1754.0,1.4065757818765037
506,2021-11-01,126.0,867.0,0.6805337519623234,986.0,0.7739403453689168,1107.0,0.868916797488226,1229.0,0.9646781789638933,1351.0,1.0604395604395604,1477.0,1.1593406593406594,1609.0,1.2629513343799057,1744.0,1.3689167974882261
507,2021-11-02,130.0,877.0,0.6862284820031299,997.0,0.7801251956181534,1116.0,0.8732394366197183,1237.0,0.9679186228482003,1359.0,1.0633802816901408,1481.0,1.1588419405320813,1607.0,1.257433489827856,1739.0,1.3607198748043818
508,2021-11-03,132.0,886.0,0.7110754414125201,1009.0,0.8097913322632424,1129.0,0.906099518459069,1248.0,1.0016051364365972,1369.0,1.0987158908507224,1491.0,1.196629213483146,1613.0,1.2945425361155698,1739.0,1.3956661316211878
509,2021-11-04,128.0,889.0,0.7072394590294352,1014.0,0.8066825775656324,1137.0,0.9045346062052506,1257.0,1.0,1376.0,1.09466984884646,1497.0,1.1909307875894988,1619.0,1.2879872712808274,1741.0,1.385043754972156
510,2021-11-05,125.0,894.0,0.6701649175412294,1014.0,0.760119940029985,1139.0,0.8538230884557722,1262.0,0.9460269865067467,1382.0,1.0359820089955023,1501.0,1.1251874062968517,1622.0,1.2158920539730136,1744.0,1.3073463268365817
511,2021-11-06,134.0,903.0,0.6882621951219512,1028.0,0.7835365853658537,1148.0,0.875,1273.0,0.9702743902439024,1396.0,1.0640243902439024,1516.0,1.1554878048780488,1635.0,1.2461890243902438,1756.0,1.3384146341463414
512,2021-11-07,131.0,906.0,0.6894977168949772,1034.0,0.786910197869102,1159.0,0.8820395738203958,1279.0,0.9733637747336378,1404.0,1.0684931506849316,1527.0,1.1621004566210045,1647.0,1.2534246575342465,1766.0,1.3439878234398783
513,2021-11-08,145.0,925.0,0.6640344580043073,1051.0,0.7544867193108399,1179.0,0.8463747307968413,1304.0,0.9361091170136396,1424.0,1.022254127781766,1549.0,1.1119885139985644,1672.0,1.2002871500358938,1792.0,1.2864321608040201
514,2021-11-09,148.0,943.0,0.6428084526244036,1073.0,0.7314246762099523,1199.0,0.8173142467620995,1327.0,0.9045671438309475,1452.0,0.9897750511247444,1572.0,1.0715746421267893,1697.0,1.1567825494205863,1820.0,1.2406271301976823
515,2021-11-10,153.0,964.0,0.652232746955345,1096.0,0.7415426251691475,1226.0,0.8294993234100135,1352.0,0.9147496617050067,1480.0,1.0013531799729365,1605.0,1.0859269282814614,1725.0,1.1671177266576456,1850.0,1.2516914749661705
516,2021-11-11,155.0,991.0,0.6381197681905988,1119.0,0.7205408886027045,1251.0,0.8055376690276883,1381.0,0.8892466194462331,1507.0,0.9703799098518996,1635.0,1.0528010302640052,1760.0,1.1332904056664521,1880.0,1.2105602060528011
517,2021-11-12,157.0,1023.0,0.6433962264150943,1148.0,0.7220125786163522,1276.0,0.8025157232704403,1408.0,0.8855345911949686,1538.0,0.9672955974842767,1664.0,1.0465408805031446,1792.0,1.1270440251572327,1917.0,1.2056603773584906
518,2021-11-13,160.0,1049.0,0.6984021304926764,1183.0,0.7876165113182424,1308.0,0.8708388814913449,1436.0,0.9560585885486018,1568.0,1.043941411451398,1698.0,1.1304926764314247,1824.0,1.214380825565912,1952.0,1.2996005326231692
519,2021-11-14,170.0,1088.0,0.6795752654590881,1219.0,0.7613991255465334,1353.0,0.8450968144909432,1478.0,0.9231730168644597,1606.0,1.0031230480949407,1738.0,1.085571517801374,1868.0,1.1667707682698314,1994.0,1.245471580262336
520,2021-11-15,173.0,1116.0,0.6859250153657037,1261.0,0.7750460971112477,1392.0,0.8555623847572219,1526.0,0.9379225568531039,1651.0,1.0147510755992624,1779.0,1.0934234787953288,1911.0,1.1745543945912722,2041.0,1.2544560540872771
521,2021-11-16,182.0,1150.0,0.7147296457426974,1298.0,0.8067122436295836,1443.0,0.8968303293971411,1574.0,0.978247358607831,1708.0,1.0615288999378496,1833.0,1.139216904909882,1961.0,1.218769422001243,2093.0,1.3008079552517091
522,2021-11-17,193.0,1190.0,0.7130017974835231,1343.0,0.8046734571599761,1491.0,0.8933493109646495,1636.0,0.9802276812462553,1767.0,1.0587177950868785,1901.0,1.1390053924505692,2026.0,1.213900539245057,2154.0,1.2905931695626123
523,2021-11-18,190.0,1225.0,0.6964184195565662,1380.0,0.7845366685616828,1533.0,0.8715179079022172,1681.0,0.9556566230812962,1826.0,1.038089823763502,1957.0,1.1125639567936327,2091.0,1.1887436043206367,2216.0,1.259806708357021
524,2021-11-19,191.0,1259.0,0.7206639954207212,1416.0,0.8105323411562679,1571.0,0.8992558672009159,1724.0,0.9868345735546652,1872.0,1.0715512306811676,2017.0,1.1545506582713223,2148.0,1.229536348025186,2282.0,1.3062392673153977
525,2021-11-20,197.0,1296.0,0.7570093457943925,1456.0,0.8504672897196262,1613.0,0.9421728971962616,1768.0,1.0327102803738317,1921.0,1.1220794392523366,2069.0,1.2085280373831775,2214.0,1.2932242990654206,2345.0,1.3697429906542056
526,2021-11-21,204.0,1330.0,0.7255864702673214,1500.0,0.8183306055646481,1660.0,0.9056192034915439,1817.0,0.9912711402073104,1972.0,1.0758319694489906,2125.0,1.1593016912165848,2273.0,1.2400436442989635,2418.0,1.3191489361702127
527,2021-11-22,208.0,1365.0,0.6971399387129724,1538.0,0.7854954034729316,1708.0,0.8723186925434117,1868.0,0.9540347293156282,2025.0,1.0342185903983656,2180.0,1.1133810010214504,2333.0,1.1915219611848826,2481.0,1.267109295199183
528,2021-11-23,209.0,1392.0,0.7023208879919274,1574.0,0.7941473259334006,1747.0,0.8814328960645812,1917.0,0.9672048435923309,2077.0,1.0479313824419778,2234.0,1.1271442986881937,2389.0,1.2053481331987892,2542.0,1.282542885973764
529,2021-11-24,221.0,1420.0,0.7128514056224899,1613.0,0.8097389558232931,1795.0,0.9011044176706827,1968.0,0.9879518072289156,2138.0,1.073293172690763,2298.0,1.1536144578313252,2455.0,1.232429718875502,2610.0,1.3102409638554218
530,2021-11-25,220.0,1450.0,0.7297433316557624,1640.0,0.8253648716658278,1833.0,0.9224962254655259,2015.0,1.0140915953699043,2188.0,1.101157523905385,2358.0,1.186713638651233,2518.0,1.2672370407649722,2675.0,1.346250629089079
531,2021-11-26,226.0,1485.0,0.7014643363249882,1676.0,0.7916863486065187,1866.0,0.8814359943316014,2059.0,0.9726027397260274,2241.0,1.0585734529995277,2414.0,1.1402928672649977,2584.0,1.2205951818611243,2744.0,1.2961738308927728
532,2021-11-27,238.0,1526.0,0.7016091954022988,1723.0,0.792183908045977,1914.0,0.88,2104.0,0.9673563218390805,2297.0,1.0560919540229885,2479.0,1.1397701149425288,2652.0,1.2193103448275862,2822.0,1.2974712643678161
533,2021-11-28,247.0,1569.0,0.6860515959772628,1773.0,0.7752514210756449,1970.0,0.8613904678618277,2161.0,0.944905990380411,2351.0,1.0279842588543944,2544.0,1.1123742894621775,2726.0,1.1919545255793615,2899.0,1.2675994752951465
534,2021-11-29,251.0,1612.0,0.6775956284153005,1820.0,0.7650273224043715,2024.0,0.8507776376628836,2221.0,0.9335855401429172,2412.0,1.0138713745271122,2602.0,1.0937368642286676,2795.0,1.174863387978142,2977.0,1.2513661202185793
535,2021-11-30,254.0,1657.0,0.6741253051261188,1866.0,0.7591537835638731,2074.0,0.8437754271765663,2278.0,0.9267697314890154,2475.0,1.0069161920260374,2666.0,1.0846216436126932,2856.0,1.161920260374288,3049.0,1.240439381611066
536,2021-12-01,269.0,1705.0,0.6720536066219945,1926.0,0.7591643673630272,2135.0,0.8415451320457233,2343.0,0.9235317303902246,2547.0,1.0039416633819471,2744.0,1.0815924320063066,2935.0,1.1568782026014979,3125.0,1.2317698068584944
537,2021-12-02,282.0,1767.0,0.6843532145623548,1987.0,0.7695584817970565,2208.0,0.855151045701007,2417.0,0.9360960495739736,2625.0,1.0166537567776917,2829.0,1.0956622773044151,3026.0,1.1719597211463981,3217.0,1.2459333849728893
538,2021-12-03,278.0,1819.0,0.6794919686215913,2045.0,0.7639148300336197,2265.0,0.846096376540904,2486.0,0.9286514755323123,2695.0,1.0067239447142324,2903.0,1.0844228614120284,3107.0,1.1606275681733285,3304.0,1.2342174075457601
539,2021-12-04,289.0,1870.0,0.682232761765779,2108.0,0.7690623859905145,2334.0,0.8515140459686246,2554.0,0.9317767238234221,2775.0,1.0124042320321052,2984.0,1.0886537759941628,3192.0,1.164538489602335,3396.0,1.2389638817949653
540,2021-12-05,306.0,1929.0,0.6787473610133709,2176.0,0.7656579873328642,2414.0,0.8494018296973962,2640.0,0.9289232934553132,2860.0,1.0063335679099226,3081.0,1.0840957072484165,3290.0,1.1576354679802956,3498.0,1.23082336382829
541,2021-12-06,324.0,2002.0,0.6609442060085837,2253.0,0.7438098382304391,2500.0,0.8253549026081215,2738.0,0.9039286893364147,2964.0,0.9785407725321889,3184.0,1.0511720039617036,3405.0,1.1241333773522615,3614.0,1.1931330472103003
542,2021-12-07,336.0,2084.0,0.6711755233494364,2338.0,0.7529790660225443,2589.0,0.8338164251207729,2836.0,0.913365539452496,3074.0,0.9900161030595813,3300.0,1.0628019323671498,3520.0,1.1336553945249597,3741.0,1.2048309178743961
543,2021-12-08,348.0,2163.0,0.6806167400881057,2432.0,0.7652611705475142,2686.0,0.8451856513530522,2937.0,0.9241661422278162,3184.0,1.001887979861548,3422.0,1.076777847702958,3648.0,1.1478917558212713,3868.0,1.2171176840780364
544,2021-12-09,354.0,2235.0,0.6862143076450722,2517.0,0.7727970525023027,2786.0,0.855388394227817,3040.0,0.9333742708013509,3291.0,1.0104390543444888,3538.0,1.0862757138470986,3776.0,1.15934909425852,4002.0,1.2287381025483575
545,2021-12-10,361.0,2318.0,0.7062766605728215,2596.0,0.7909811090798293,2878.0,0.8769043266301036,3147.0,0.9588665447897623,3401.0,1.0362583790371724,3652.0,1.1127361365021329,3899.0,1.187995124923827,4137.0,1.2605118829981719
546,2021-12-11,365.0,2394.0,0.7080745341614907,2683.0,0.7935522034900917,2961.0,0.8757763975155279,3243.0,0.9591836734693877,3512.0,1.038745933155871,3766.0,1.113871635610766,4017.0,1.1881100266193434,4264.0,1.2611653356994972
547,2021-12-12,372.0,2460.0,0.7002561912894961,2766.0,0.7873612297181896,3055.0,0.8696270993452889,3333.0,0.9487617421007686,3615.0,1.0290350128095644,3884.0,1.1056077426700825,4138.0,1.1779106177056646,4389.0,1.2493595217762596
548,2021-12-13,371.0,2507.0,0.6910143329658214,2831.0,0.7803197353914002,3137.0,0.8646637265711136,3426.0,0.9443219404630651,3704.0,1.0209481808158765,3986.0,1.0986769570011026,4255.0,1.1728224917309813,4509.0,1.2428335170893055
549,2021-12-14,380.0,2551.0,0.7058660763696735,2887.0,0.7988378527946873,3211.0,0.8884892086330936,3517.0,0.9731599335915883,3806.0,1.0531267293857223,4084.0,1.1300498063087991,4366.0,1.2080796900940787,4635.0,1.2825124515771997
550,2021-12-15,399.0,2602.0,0.6985234899328859,2950.0,0.7919463087248322,3286.0,0.8821476510067114,3610.0,0.9691275167785235,3916.0,1.051275167785235,4205.0,1.1288590604026845,4483.0,1.203489932885906,4765.0,1.2791946308724833
551,2021-12-16,395.0,2643.0,0.6986518636003172,2997.0,0.7922283901665345,3345.0,0.8842188739095955,3681.0,0.9730372720063442,4005.0,1.0586835844567803,4311.0,1.1395717684377478,4600.0,1.2159661644197726,4878.0,1.2894528152260112
552,2021-12-17,388.0,2670.0,0.6951314761780786,3031.0,0.7891174173392346,3385.0,0.8812809164280135,3733.0,0.971882322311898,4069.0,1.0593595417859933,4393.0,1.1437125748502994,4699.0,1.223379328299922,4988.0,1.2986201510023432
553,2021-12-18,388.0,2693.0,0.6956858692844227,3058.0,0.7899767501937484,3419.0,0.8832343063807802,3773.0,0.9746835443037974,4121.0,1.0645827951433737,4457.0,1.151382071816068,4781.0,1.2350813743218807,5087.0,1.3141307155773703
